TheSunX,TheSunY,TheSunZ,MercuryX,MercuryY,MercuryZ,VenusX,VenusY,VenusZ,EarthX,EarthY,EarthZ,MarsX,MarsY,MarsZ,JupiterX,JupiterY,JupiterZ,SaturnX,SaturnY,SaturnZ,UranusX,UranusY,UranusZ,NeptuneX,NeptuneY,NeptuneZ,PlutoX,PlutoY,PlutoZ,
5.57029e+08,2.01024e+08,-2.40454e+07,5.47774e+10,-9.94156e+09,-5.82272e+09,-1.05039e+11,1.62244e+10,6.29388e+09,-2.61681e+09,1.47523e+11,-5.35393e+07,-2.43819e+11,4.1287e+10,6.82054e+09,-7.70339e+11,2.46639e+11,1.61917e+10,-5.60499e+11,-1.38696e+12,4.64248e+10,2.82538e+12,9.76453e+11,-3.29948e+10,4.18115e+12,-1.61549e+12,-6.30984e+10,1.27359e+12,-4.76875e+12,1.42062e+11,
5.57035e+08,2.01067e+08,-2.40456e+07,5.47755e+10,-9.76243e+09,-5.80795e+09,-1.05058e+11,1.60987e+10,6.29324e+09,-2.72587e+09,1.4752e+11,-5.35364e+07,-2.4383e+11,4.12084e+10,6.81916e+09,-7.70353e+11,2.46596e+11,1.61922e+10,-5.60469e+11,-1.38697e+12,4.64238e+10,2.82537e+12,9.76475e+11,-3.29946e+10,4.18115e+12,-1.61547e+12,-6.30989e+10,1.27361e+12,-4.76875e+12,1.42056e+11,
5.5704e+08,2.0111e+08,-2.40458e+07,5.47732e+10,-9.5832e+09,-5.79313e+09,-1.05076e+11,1.5973e+10,6.29259e+09,-2.83492e+09,1.47517e+11,-5.35334e+07,-2.43841e+11,4.11298e+10,6.81779e+09,-7.70368e+11,2.46554e+11,1.61927e+10,-5.60439e+11,-1.38698e+12,4.64228e+10,2.82537e+12,9.76497e+11,-3.29944e+10,4.18116e+12,-1.61545e+12,-6.30995e+10,1.27363e+12,-4.76875e+12,1.4205e+11,
5.57046e+08,2.01153e+08,-2.4046e+07,5.47702e+10,-9.40388e+09,-5.77824e+09,-1.05095e+11,1.58473e+10,6.29193e+09,-2.94397e+09,1.47514e+11,-5.35304e+07,-2.43852e+11,4.10512e+10,6.81641e+09,-7.70383e+11,2.46511e+11,1.61932e+10,-5.60408e+11,-1.387e+12,4.64219e+10,2.82536e+12,9.76519e+11,-3.29942e+10,4.18117e+12,-1.61543e+12,-6.31e+10,1.27365e+12,-4.76875e+12,1.42045e+11,
5.57052e+08,2.01196e+08,-2.40462e+07,5.47668e+10,-9.22445e+09,-5.76329e+09,-1.05113e+11,1.57215e+10,6.29126e+09,-3.05302e+09,1.47511e+11,-5.35274e+07,-2.43863e+11,4.09726e+10,6.81503e+09,-7.70398e+11,2.46468e+11,1.61937e+10,-5.60378e+11,-1.38701e+12,4.64209e+10,2.82535e+12,9.76541e+11,-3.29941e+10,4.18117e+12,-1.61542e+12,-6.31005e+10,1.27366e+12,-4.76875e+12,1.42039e+11,
5.57058e+08,2.01238e+08,-2.40464e+07,5.47628e+10,-9.04493e+09,-5.74829e+09,-1.05131e+11,1.55957e+10,6.29058e+09,-3.16207e+09,1.47508e+11,-5.35244e+07,-2.43874e+11,4.0894e+10,6.81365e+09,-7.70413e+11,2.46426e+11,1.61942e+10,-5.60347e+11,-1.38702e+12,4.64199e+10,2.82534e+12,9.76563e+11,-3.29939e+10,4.18118e+12,-1.6154e+12,-6.31011e+10,1.27368e+12,-4.76874e+12,1.42033e+11,
5.57064e+08,2.01281e+08,-2.40466e+07,5.47582e+10,-8.86532e+09,-5.73323e+09,-1.05149e+11,1.54699e+10,6.28989e+09,-3.27112e+09,1.47505e+11,-5.35214e+07,-2.43885e+11,4.08154e+10,6.81227e+09,-7.70428e+11,2.46383e+11,1.61947e+10,-5.60317e+11,-1.38704e+12,4.64189e+10,2.82533e+12,9.76585e+11,-3.29937e+10,4.18119e+12,-1.61538e+12,-6.31016e+10,1.2737e+12,-4.76874e+12,1.42028e+11,
5.5707e+08,2.01324e+08,-2.40468e+07,5.47531e+10,-8.68561e+09,-5.71811e+09,-1.05167e+11,1.5344e+10,6.2892e+09,-3.38016e+09,1.47501e+11,-5.35184e+07,-2.43896e+11,4.07368e+10,6.81089e+09,-7.70443e+11,2.46341e+11,1.61952e+10,-5.60287e+11,-1.38705e+12,4.6418e+10,2.82533e+12,9.76607e+11,-3.29935e+10,4.18119e+12,-1.61536e+12,-6.31022e+10,1.27372e+12,-4.76874e+12,1.42022e+11,
5.57076e+08,2.01367e+08,-2.4047e+07,5.47474e+10,-8.50582e+09,-5.70293e+09,-1.05185e+11,1.52182e+10,6.28849e+09,-3.48921e+09,1.47498e+11,-5.35153e+07,-2.43907e+11,4.06582e+10,6.80951e+09,-7.70457e+11,2.46298e+11,1.61957e+10,-5.60256e+11,-1.38706e+12,4.6417e+10,2.82532e+12,9.76629e+11,-3.29933e+10,4.1812e+12,-1.61534e+12,-6.31027e+10,1.27374e+12,-4.76874e+12,1.42016e+11,
5.57082e+08,2.0141e+08,-2.40471e+07,5.47411e+10,-8.32593e+09,-5.68769e+09,-1.05203e+11,1.50923e+10,6.28778e+09,-3.59825e+09,1.47494e+11,-5.35123e+07,-2.43917e+11,4.05796e+10,6.80813e+09,-7.70472e+11,2.46255e+11,1.61962e+10,-5.60226e+11,-1.38708e+12,4.6416e+10,2.82531e+12,9.76651e+11,-3.29931e+10,4.18121e+12,-1.61532e+12,-6.31032e+10,1.27376e+12,-4.76874e+12,1.42011e+11,
